type	picture	name	phase	sort	tab	seat	quality	strenthenCoinFactor	strenthenSuccessFactor	strenthenSuccessFactor	limitLevel	Price	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	state	desc	maxSocket	limitHero	avatar
103025	icon_103025	迈克斯之牙	7	3	5	1	1	0.7	1.5	1.5	32	2600	228	798	76	76	76	76	76	76	76	0	0	四阶1级短剑，29级可以使用，可以在主线或者厄运王国低级副本中获得	1		weapon_103025
103026	icon_103025	迈克斯之牙	7	3	5	1	2	0.75	1.4	1.4	33	2700	240	840	80	80	80	80	80	80	80	0	0	四阶2级短剑，30级可以使用，可以通过合成获得	2		weapon_103025
103027	icon_103025	迈克斯之牙	7	3	5	1	2	0.8	1.3	1.3	34	2800	246	861	82	82	82	82	82	82	82	0	0	四阶3级短剑，31级可以使用，可以在厄运王国中低级副本中获得	2		weapon_103025
103028	icon_103025	迈克斯之牙	7	3	5	1	3	0.85	1.2	1.2	35	2900	276	966	92	92	92	92	92	92	92	0	0	四阶4级短剑，32级可以使用，可以通过合成获得	3		weapon_103025
103029	icon_103029	毁灭之刃	8	3	5	1	3	0.9	1.1	1.1	36	3000	270	945	90	90	90	90	90	90	90	0	0	四阶5级短剑，33级可以使用，可以在厄运王国中高级副本中获得	3		weapon_103029
103030	icon_103029	毁灭之刃	8	3	5	1	4	0.95	1	1	37	3100	282	987	94	94	94	94	94	94	94	0	0	四阶6级短剑，34级可以使用，可以通过合成获得	4		weapon_103029
103031	icon_103029	毁灭之刃	8	3	5	1	4	1	0.9	0.9	38	3200	288	1008	96	96	96	96	96	96	96	0	0	四阶7级短剑，35级可以使用，可以在厄运王国高级副本中获得	4		weapon_103029
103032	icon_103029	毁灭之刃	8	3	5	1	5	1.05	0.8	0.8	39	3300	300	1050	100	100	100	100	100	100	100	0	0	四阶8级短剑，36级可以使用，可以通过合成获得	5		weapon_103029
103033	icon_103033	多彩之剑	9	3	5	1	1	0.9	1.2	1.2	40	3400	282	987	94	94	94	94	94	94	94	0	0	五阶1级短剑，37级可以使用，可以在主线或者斯坦索姆低级副本中获得	1		weapon_103033
103034	icon_103033	多彩之剑	9	3	5	1	2	0.95	1.1	1.1	41	3500	294	1029	98	98	98	98	98	98	98	0	0	五阶2级短剑，38级可以使用，可以通过合成获得	2		weapon_103033
103035	icon_103033	多彩之剑	9	3	5	1	2	1	1	1	42	3600	300	1050	100	100	100	100	100	100	100	0	0	五阶3级短剑，39级可以使用，可以在斯坦索姆中低级副本中获得	2		weapon_103033
103036	icon_103033	多彩之剑	9	3	5	1	3	1.05	0.9	0.9	43	3700	306	1071	102	102	102	102	102	102	102	0	0	五阶4级短剑，40级可以使用，可以通过合成获得	3		weapon_103033
103037	icon_103037	帝殒	10	3	5	1	3	1.1	0.8	0.8	44	3800	306	1071	102	102	102	102	102	102	102	0	0	五阶5级短剑，41级可以使用，可以在斯坦索姆中高级副本中获得	3		weapon_103037
103038	icon_103037	帝殒	10	3	5	1	4	1.15	0.7	0.7	45	3900	318	1113	106	106	106	106	106	106	106	0	0	五阶6级短剑，42级可以使用，可以通过合成获得	4		weapon_103037
103039	icon_103037	帝殒	10	3	5	1	4	1.2	0.6	0.6	46	4000	324	1134	108	108	108	108	108	108	108	0	0	五阶7级短剑，43级可以使用，可以在斯坦索姆高级副本中获得	4		weapon_103037
103040	icon_103037	帝殒	10	3	5	1	5	1.25	0.5	0.5	47	4100	330	1155	110	110	110	110	110	110	110	0	0	五阶8级短剑，44级可以使用，可以通过合成获得	5		weapon_103037
103041	icon_103041	炽天使之刃	11	3	5	1	1	1.1	1	1	48	4200	312	1092	104	104	104	104	104	104	104	0	0	六阶1级短剑，45级可以使用，可以在主线或者黑石之翼低级副本中获得	1		weapon_103041
103042	icon_103041	炽天使之刃	11	3	5	1	2	1.15	0.92	0.92	49	4300	324	1134	108	108	108	108	108	108	108	0	0	六阶2级短剑，46级可以使用，可以通过合成获得	2		weapon_103041
103043	icon_103041	炽天使之刃	11	3	5	1	2	1.2	0.84	0.84	50	4400	330	1155	110	110	110	110	110	110	110	0	0	六阶3级短剑，47级可以使用，可以在黑石之翼中低级副本中获得	2		weapon_103041
103044	icon_103041	炽天使之刃	11	3	5	1	3	1.25	0.76	0.76	51	4500	342	1197	114	114	114	114	114	114	114	0	0	六阶4级短剑，48级可以使用，可以通过合成获得	3		weapon_103041
103045	icon_103045	毁灭之黎明	12	3	5	1	3	1.3	0.68	0.68	52	4600	336	1176	112	112	112	112	112	112	112	0	0	六阶5级短剑，49级可以使用，可以在黑石之翼中高级副本中获得	3		weapon_103045
103046	icon_103045	毁灭之黎明	12	3	5	1	4	1.35	0.6	0.6	53	4700	342	1197	114	114	114	114	114	114	114	0	0	六阶6级短剑，50级可以使用，可以通过合成获得	4		weapon_103045
103047	icon_103045	毁灭之黎明	12	3	5	1	4	1.4	0.52	0.52	54	4800	348	1218	116	116	116	116	116	116	116	0	0	六阶7级短剑，51级可以使用，可以在黑石之翼高级副本中获得	4		weapon_103045
103048	icon_103045	毁灭之黎明	12	3	5	1	5	1.45	0.44	0.44	55	4900	360	1260	120	120	120	120	120	120	120	0	0	六阶8级短剑，52级可以使用，可以通过合成获得	5		weapon_103045
203001	icon_203001	督军之刃	30	3	5	1	4	1.3	0.83	0.83	35	2200	210	735	70	70	70	70	70	70	70	42	0	战场一节1级短剑，35级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_203001
203002	icon_203001	督军之刃	31	3	5	1	4	1.35	0.78	0.78	40	2600	228	798	76	76	76	76	76	76	76	60	0	战场一节2级短剑，45级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_203001
203003	icon_203001	督军之刃	32	3	5	1	4	1.4	0.46	0.6	45	3400	282	987	94	94	94	94	94	94	94	80	0	战场一节3级短剑，55级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_203001
203004	icon_203002	暗杀之刺	33	3	5	1	4	1.45	0.4	0.55	50	4200	312	1092	104	104	104	104	104	104	104	100	0	战场二节1级短剑，56级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_203002
203005	icon_203002	暗杀之刺	34	3	5	1	4	1.5	0.34	0.5	58	4900	360	1260	120	120	120	120	120	120	120	110	0	战场二节2级短剑，60级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_203002
203006	icon_203002	暗杀之刺	35	3	5	1	5	1.55	0.28	0.4	60	4900	360	1260	120	120	120	120	120	120	120	120	0	战场二节3级短剑，60级可以使用，附有韧性属性，可以通过战场兑换获得	5		weapon_203002
104001	icon_104001	工头战斧	1	4	5	1	1	0.1	3	3	2	200	60	210	20	20	20	20	20	20	20	0	0	一阶1级斧头，1级可以使用，可以在主线或者银牙城堡低级副本中获得	1		weapon_104001
104002	icon_104001	工头战斧	1	4	5	1	2	0.15	2.8	2.8	4	300	72	252	24	24	24	24	24	24	24	0	0	一阶2级斧头，3级可以使用，可以通过合成获得	2		weapon_104001
104003	icon_104001	工头战斧	1	4	5	1	2	0.2	2.6	2.6	6	400	78	273	26	26	26	26	26	26	26	0	0	一阶3级斧头，5级可以使用，可以在银牙城堡中低级副本中获得	2		weapon_104001
104004	icon_104001	工头战斧	1	4	5	1	3	0.25	2.4	2.4	8	500	108	378	36	36	36	36	36	36	36	0	0	一阶4级斧头，7级可以使用，可以通过合成获得	3		weapon_104001
104005	icon_104005	厄运钟摆	2	4	5	1	3	0.3	2.2	2.2	10	600	96	336	32	32	32	32	32	32	32	0	0	一阶5级斧头，9级可以使用，可以在银牙城堡中高级副本中获得	3		weapon_104005
104006	icon_104005	厄运钟摆	2	4	5	1	4	0.35	2	2	12	700	108	378	36	36	36	36	36	36	36	0	0	一阶6级斧头，10级可以使用，可以通过合成获得	4		weapon_104005
104007	icon_104005	厄运钟摆	2	4	5	1	4	0.4	1.8	1.8	14	800	114	399	38	38	38	38	38	38	38	0	0	一阶7级斧头，11级可以使用，可以在银牙城堡高级副本中获得	4		weapon_104005
104008	icon_104005	厄运钟摆	2	4	5	1	5	0.45	1.6	1.6	15	900	126	441	42	42	42	42	42	42	42	0	0	一阶8级斧头，12级可以使用，可以通过合成获得	5		weapon_104005
104009	icon_104009	炽炎战斧	3	4	5	1	1	0.3	2.5	2.5	16	1000	114	399	38	38	38	38	38	38	38	0	0	二阶1级斧头，13级可以使用，可以在主线或者血色教堂低级副本中获得	1		weapon_104009
104010	icon_104009	炽炎战斧	3	4	5	1	2	0.35	2.3	2.3	17	1100	126	441	42	42	42	42	42	42	42	0	0	二阶2级斧头，14级可以使用，可以通过合成获得	2		weapon_104009
104011	icon_104009	炽炎战斧	3	4	5	1	2	0.4	2.1	2.1	18	1200	132	462	44	44	44	44	44	44	44	0	0	二阶3级斧头，15级可以使用，可以在血色教堂中低级副本中获得	2		weapon_104009
104012	icon_104009	炽炎战斧	3	4	5	1	3	0.45	1.9	1.9	19	1300	162	567	54	54	54	54	54	54	54	0	0	二阶4级斧头，16级可以使用，可以通过合成获得	3		weapon_104009
104013	icon_104013	斩首者康恩	4	4	5	1	3	0.5	1.7	1.7	20	1400	150	525	50	50	50	50	50	50	50	0	0	二阶5级斧头，17级可以使用，可以在血色教堂中高级副本中获得	3		weapon_104013
104014	icon_104013	斩首者康恩	4	4	5	1	4	0.55	1.5	1.5	21	1500	162	567	54	54	54	54	54	54	54	0	0	二阶6级斧头，18级可以使用，可以通过合成获得	4		weapon_104013
104015	icon_104013	斩首者康恩	4	4	5	1	4	0.6	1.3	1.3	22	1600	168	588	56	56	56	56	56	56	56	0	0	二阶7级斧头，19级可以使用，可以在血色教堂高级副本中获得	4		weapon_104013
104016	icon_104013	斩首者康恩	4	4	5	1	5	0.65	1.1	1.1	23	1700	180	630	60	60	60	60	60	60	60	0	0	二阶8级斧头，20级可以使用，可以通过合成获得	5		weapon_104013
104017	icon_104017	古树天敌	5	4	5	1	1	0.5	2	2	24	1800	168	588	56	56	56	56	56	56	56	0	0	三阶1级斧头，21级可以使用，可以在主线或者祖尔神迹低级副本中获得	1		weapon_104017
104018	icon_104017	古树天敌	5	4	5	1	2	0.55	1.85	1.85	25	1900	180	630	60	60	60	60	60	60	60	0	0	三阶2级斧头，22级可以使用，可以通过合成获得	2		weapon_104017
104019	icon_104017	古树天敌	5	4	5	1	2	0.6	1.7	1.7	26	2000	186	651	62	62	62	62	62	62	62	0	0	三阶3级斧头，23级可以使用，可以在祖尔神迹中低级副本中获得	2		weapon_104017
104020	icon_104017	古树天敌	5	4	5	1	3	0.65	1.55	1.55	27	2100	216	756	72	72	72	72	72	72	72	0	0	三阶4级斧头，24级可以使用，可以通过合成获得	3		weapon_104017
104021	icon_104021	碎灵	6	4	5	1	3	0.7	1.4	1.4	28	2200	210	735	70	70	70	70	70	70	70	0	0	三阶5级斧头，25级可以使用，可以在祖尔神迹中高级副本中获得	3		weapon_104021
104022	icon_104021	碎灵	6	4	5	1	4	0.75	1.25	1.25	29	2300	222	777	74	74	74	74	74	74	74	0	0	三阶6级斧头，26级可以使用，可以通过合成获得	4		weapon_104021
104023	icon_104021	碎灵	6	4	5	1	4	0.8	1.1	1.1	30	2400	228	798	76	76	76	76	76	76	76	0	0	三阶7级斧头，27级可以使用，可以在祖尔神迹高级副本中获得	4		weapon_104021
104024	icon_104021	碎灵	6	4	5	1	5	0.85	0.95	0.95	31	2500	240	840	80	80	80	80	80	80	80	0	0	三阶8级斧头，28级可以使用，可以通过合成获得	5		weapon_104021
104025	icon_104025	夜幕	7	4	5	1	1	0.7	1.5	1.5	32	2600	228	798	76	76	76	76	76	76	76	0	0	四阶1级斧头，29级可以使用，可以在主线或者厄运王国低级副本中获得	1		weapon_104025
104026	icon_104025	夜幕	7	4	5	1	2	0.75	1.4	1.4	33	2700	240	840	80	80	80	80	80	80	80	0	0	四阶2级斧头，30级可以使用，可以通过合成获得	2		weapon_104025
104027	icon_104025	夜幕	7	4	5	1	2	0.8	1.3	1.3	34	2800	246	861	82	82	82	82	82	82	82	0	0	四阶3级斧头，31级可以使用，可以在厄运王国中低级副本中获得	2		weapon_104025
104028	icon_104025	夜幕	7	4	5	1	3	0.85	1.2	1.2	35	2900	276	966	92	92	92	92	92	92	92	0	0	四阶4级斧头，32级可以使用，可以通过合成获得	3		weapon_104025
104029	icon_104029	巨龙复仇者	8	4	5	1	3	0.9	1.1	1.1	36	3000	270	945	90	90	90	90	90	90	90	0	0	四阶5级斧头，33级可以使用，可以在厄运王国中高级副本中获得	3		weapon_104029
104030	icon_104029	巨龙复仇者	8	4	5	1	4	0.95	1	1	37	3100	282	987	94	94	94	94	94	94	94	0	0	四阶6级斧头，34级可以使用，可以通过合成获得	4		weapon_104029
104031	icon_104029	巨龙复仇者	8	4	5	1	4	1	0.9	0.9	38	3200	288	1008	96	96	96	96	96	96	96	0	0	四阶7级斧头，35级可以使用，可以在厄运王国高级副本中获得	4		weapon_104029
104032	icon_104029	巨龙复仇者	8	4	5	1	5	1.05	0.8	0.8	39	3300	300	1050	100	100	100	100	100	100	100	0	0	四阶8级斧头，36级可以使用，可以通过合成获得	5		weapon_104029
104033	icon_104033	龙爪巨斧	9	4	5	1	1	0.9	1.2	1.2	40	3400	282	987	94	94	94	94	94	94	94	0	0	五阶1级斧头，37级可以使用，可以在主线或者斯坦索姆低级副本中获得	1		weapon_104033
104034	icon_104033	龙爪巨斧	9	4	5	1	2	0.95	1.1	1.1	41	3500	294	1029	98	98	98	98	98	98	98	0	0	五阶2级斧头，38级可以使用，可以通过合成获得	2		weapon_104033
104035	icon_104033	龙爪巨斧	9	4	5	1	2	1	1	1	42	3600	300	1050	100	100	100	100	100	100	100	0	0	五阶3级斧头，39级可以使用，可以在斯坦索姆中低级副本中获得	2		weapon_104033
104036	icon_104033	龙爪巨斧	9	4	5	1	3	1.05	0.9	0.9	43	3700	306	1071	102	102	102	102	102	102	102	0	0	五阶4级斧头，40级可以使用，可以通过合成获得	3		weapon_104033
104037	icon_104037	脊骨收割者	10	4	5	1	3	1.1	0.8	0.8	44	3800	306	1071	102	102	102	102	102	102	102	0	0	五阶5级斧头，41级可以使用，可以在斯坦索姆中高级副本中获得	3		weapon_104037
104038	icon_104037	脊骨收割者	10	4	5	1	4	1.15	0.7	0.7	45	3900	318	1113	106	106	106	106	106	106	106	0	0	五阶6级斧头，42级可以使用，可以通过合成获得	4		weapon_104037
104039	icon_104037	脊骨收割者	10	4	5	1	4	1.2	0.6	0.6	46	4000	324	1134	108	108	108	108	108	108	108	0	0	五阶7级斧头，43级可以使用，可以在斯坦索姆高级副本中获得	4		weapon_104037
104040	icon_104037	脊骨收割者	10	4	5	1	5	1.25	0.5	0.5	47	4100	330	1155	110	110	110	110	110	110	110	0	0	五阶8级斧头，44级可以使用，可以通过合成获得	5		weapon_104037
104041	icon_104041	断离	11	4	5	1	1	1.1	1	1	48	4200	312	1092	104	104	104	104	104	104	104	0	0	六阶1级斧头，45级可以使用，可以在主线或者黑石之翼低级副本中获得	1		weapon_104041
104042	icon_104041	断离	11	4	5	1	2	1.15	0.92	0.92	49	4300	324	1134	108	108	108	108	108	108	108	0	0	六阶2级斧头，46级可以使用，可以通过合成获得	2		weapon_104041
104043	icon_104041	断离	11	4	5	1	2	1.2	0.84	0.84	50	4400	330	1155	110	110	110	110	110	110	110	0	0	六阶3级斧头，47级可以使用，可以在黑石之翼中低级副本中获得	2		weapon_104041
104044	icon_104041	断离	11	4	5	1	3	1.25	0.76	0.76	51	4500	342	1197	114	114	114	114	114	114	114	0	0	六阶4级斧头，48级可以使用，可以通过合成获得	3		weapon_104041
104045	icon_104045	黑暗之刃	12	4	5	1	3	1.3	0.68	0.68	52	4600	336	1176	112	112	112	112	112	112	112	0	0	六阶5级斧头，49级可以使用，可以在黑石之翼中高级副本中获得	3		weapon_104045
104046	icon_104045	黑暗之刃	12	4	5	1	4	1.35	0.6	0.6	53	4700	342	1197	114	114	114	114	114	114	114	0	0	六阶6级斧头，50级可以使用，可以通过合成获得	4		weapon_104045
104047	icon_104045	黑暗之刃	12	4	5	1	4	1.4	0.52	0.52	54	4800	348	1218	116	116	116	116	116	116	116	0	0	六阶7级斧头，51级可以使用，可以在黑石之翼高级副本中获得	4		weapon_104045
104048	icon_104045	黑暗之刃	12	4	5	1	5	1.45	0.44	0.44	55	4900	360	1260	120	120	120	120	120	120	120	0	0	六阶8级斧头，52级可以使用，可以通过合成获得	5		weapon_104045
204001	icon_204001	督军之斧	30	4	5	1	4	1.3	0.83	0.83	35	2200	210	735	70	70	70	70	70	70	70	42	0	战场一节1级斧头，35级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_204001
204002	icon_204001	督军之斧	31	4	5	1	4	1.35	0.78	0.78	40	2600	228	798	76	76	76	76	76	76	76	60	0	战场一节2级斧头，45级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_204001
204003	icon_204001	督军之斧	32	4	5	1	4	1.4	0.46	0.6	45	3400	282	987	94	94	94	94	94	94	94	80	0	战场一节3级斧头，55级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_204001
204004	icon_204002	荣耀之斧	33	4	5	1	4	1.45	0.4	0.55	50	4200	312	1092	104	104	104	104	104	104	104	100	0	战场二节1级斧头，56级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_204002
204005	icon_204002	荣耀之斧	34	4	5	1	4	1.5	0.34	0.5	58	4900	360	1260	120	120	120	120	120	120	120	110	0	战场二节2级斧头，60级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_204002
204006	icon_204002	荣耀之斧	35	4	5	1	5	1.55	0.28	0.4	60	4900	360	1260	120	120	120	120	120	120	120	120	0	战场二节3级斧头，60级可以使用，附有韧性属性，可以通过战场兑换获得	5		weapon_204002
105001	icon_105001	乔丹法杖	1	5	5	1	1	0.1	3	3	2	200	60	210	20	20	20	20	20	20	20	0	0	一阶1级法杖，1级可以使用，可以在主线或者银牙城堡低级副本中获得	1		weapon_105001
105002	icon_105001	乔丹法杖	1	5	5	1	2	0.15	2.8	2.8	4	300	72	252	24	24	24	24	24	24	24	0	0	一阶2级法杖，3级可以使用，可以通过合成获得	2		weapon_105001
105003	icon_105001	乔丹法杖	1	5	5	1	2	0.2	2.6	2.6	6	400	78	273	26	26	26	26	26	26	26	0	0	一阶3级法杖，5级可以使用，可以在银牙城堡中低级副本中获得	2		weapon_105001
105004	icon_105001	乔丹法杖	1	5	5	1	3	0.25	2.4	2.4	8	500	108	378	36	36	36	36	36	36	36	0	0	一阶4级法杖，7级可以使用，可以通过合成获得	3		weapon_105001
105005	icon_105005	院长之杖	2	5	5	1	3	0.3	2.2	2.2	10	600	96	336	32	32	32	32	32	32	32	0	0	一阶5级法杖，9级可以使用，可以在银牙城堡中高级副本中获得	3		weapon_105005
105006	icon_105005	院长之杖	2	5	5	1	4	0.35	2	2	12	700	108	378	36	36	36	36	36	36	36	0	0	一阶6级法杖，10级可以使用，可以通过合成获得	4		weapon_105005
105007	icon_105005	院长之杖	2	5	5	1	4	0.4	1.8	1.8	14	800	114	399	38	38	38	38	38	38	38	0	0	一阶7级法杖，11级可以使用，可以在银牙城堡高级副本中获得	4		weapon_105005
105008	icon_105005	院长之杖	2	5	5	1	5	0.45	1.6	1.6	15	900	126	441	42	42	42	42	42	42	42	0	0	一阶8级法杖，12级可以使用，可以通过合成获得	5		weapon_105005
105009	icon_105009	典狱官法杖	3	5	5	1	1	0.3	2.5	2.5	16	1000	114	399	38	38	38	38	38	38	38	0	0	二阶1级法杖，13级可以使用，可以在主线或者血色教堂低级副本中获得	1		weapon_105009
105010	icon_105009	典狱官法杖	3	5	5	1	2	0.35	2.3	2.3	17	1100	126	441	42	42	42	42	42	42	42	0	0	二阶2级法杖，14级可以使用，可以通过合成获得	2		weapon_105009
105011	icon_105009	典狱官法杖	3	5	5	1	2	0.4	2.1	2.1	18	1200	132	462	44	44	44	44	44	44	44	0	0	二阶3级法杖，15级可以使用，可以在血色教堂中低级副本中获得	2		weapon_105009
105012	icon_105009	典狱官法杖	3	5	5	1	3	0.45	1.9	1.9	19	1300	162	567	54	54	54	54	54	54	54	0	0	二阶4级法杖，16级可以使用，可以通过合成获得	3		weapon_105009
105013	icon_105013	亮木法杖	4	5	5	1	3	0.5	1.7	1.7	20	1400	150	525	50	50	50	50	50	50	50	0	0	二阶5级法杖，17级可以使用，可以在血色教堂中高级副本中获得	3		weapon_105013
105014	icon_105013	亮木法杖	4	5	5	1	4	0.55	1.5	1.5	21	1500	162	567	54	54	54	54	54	54	54	0	0	二阶6级法杖，18级可以使用，可以通过合成获得	4		weapon_105013
105015	icon_105013	亮木法杖	4	5	5	1	4	0.6	1.3	1.3	22	1600	168	588	56	56	56	56	56	56	56	0	0	二阶7级法杖，19级可以使用，可以在血色教堂高级副本中获得	4		weapon_105013
105016	icon_105013	亮木法杖	4	5	5	1	5	0.65	1.1	1.1	23	1700	180	630	60	60	60	60	60	60	60	0	0	二阶8级法杖，20级可以使用，可以通过合成获得	5		weapon_105013
105017	icon_105017	鱼类终结者	5	5	5	1	1	0.5	2	2	24	1800	168	588	56	56	56	56	56	56	56	0	0	三阶1级法杖，21级可以使用，可以在主线或者祖尔神迹低级副本中获得	1		weapon_105017
105018	icon_105017	鱼类终结者	5	5	5	1	2	0.55	1.85	1.85	25	1900	180	630	60	60	60	60	60	60	60	0	0	三阶2级法杖，22级可以使用，可以通过合成获得	2		weapon_105017
105019	icon_105017	鱼类终结者	5	5	5	1	2	0.6	1.7	1.7	26	2000	186	651	62	62	62	62	62	62	62	0	0	三阶3级法杖，23级可以使用，可以在祖尔神迹中低级副本中获得	2		weapon_105017
105020	icon_105017	鱼类终结者	5	5	5	1	3	0.65	1.55	1.55	27	2100	216	756	72	72	72	72	72	72	72	0	0	三阶4级法杖，24级可以使用，可以通过合成获得	3		weapon_105017
105021	icon_105021	娅罗的意志	6	5	5	1	3	0.7	1.4	1.4	28	2200	210	735	70	70	70	70	70	70	70	0	0	三阶5级法杖，25级可以使用，可以在祖尔神迹中高级副本中获得	3		weapon_105021
105022	icon_105021	娅罗的意志	6	5	5	1	4	0.75	1.25	1.25	29	2300	222	777	74	74	74	74	74	74	74	0	0	三阶6级法杖，26级可以使用，可以通过合成获得	4		weapon_105021
105023	icon_105021	娅罗的意志	6	5	5	1	4	0.8	1.1	1.1	30	2400	228	798	76	76	76	76	76	76	76	0	0	三阶7级法杖，27级可以使用，可以在祖尔神迹高级副本中获得	4		weapon_105021
105024	icon_105021	娅罗的意志	6	5	5	1	5	0.85	0.95	0.95	31	2500	240	840	80	80	80	80	80	80	80	0	0	三阶8级法杖，28级可以使用，可以通过合成获得	5		weapon_105021
105025	icon_105025	金嘟的裁决	7	5	5	1	1	0.7	1.5	1.5	32	2600	228	798	76	76	76	76	76	76	76	0	0	四阶1级法杖，29级可以使用，可以在主线或者厄运王国低级副本中获得	1		weapon_105025
105026	icon_105025	金嘟的裁决	7	5	5	1	2	0.75	1.4	1.4	33	2700	240	840	80	80	80	80	80	80	80	0	0	四阶2级法杖，30级可以使用，可以通过合成获得	2		weapon_105025
105027	icon_105025	金嘟的裁决	7	5	5	1	2	0.8	1.3	1.3	34	2800	246	861	82	82	82	82	82	82	82	0	0	四阶3级法杖，31级可以使用，可以在厄运王国中低级副本中获得	2		weapon_105025
105028	icon_105025	金嘟的裁决	7	5	5	1	3	0.85	1.2	1.2	35	2900	276	966	92	92	92	92	92	92	92	0	0	四阶4级法杖，32级可以使用，可以通过合成获得	3		weapon_105025
105029	icon_105029	祈福	8	5	5	1	3	0.9	1.1	1.1	36	3000	270	945	90	90	90	90	90	90	90	0	0	四阶5级法杖，33级可以使用，可以在厄运王国中高级副本中获得	3		weapon_105029
105030	icon_105029	祈福	8	5	5	1	4	0.95	1	1	37	3100	282	987	94	94	94	94	94	94	94	0	0	四阶6级法杖，34级可以使用，可以通过合成获得	4		weapon_105029
105031	icon_105029	祈福	8	5	5	1	4	1	0.9	0.9	38	3200	288	1008	96	96	96	96	96	96	96	0	0	四阶7级法杖，35级可以使用，可以在厄运王国高级副本中获得	4		weapon_105029
105032	icon_105029	祈福	8	5	5	1	5	1.05	0.8	0.8	39	3300	300	1050	100	100	100	100	100	100	100	0	0	四阶8级法杖，36级可以使用，可以通过合成获得	5		weapon_105029
105033	icon_105033	占卜法杖	9	5	5	1	1	0.9	1.2	1.2	40	3400	282	987	94	94	94	94	94	94	94	0	0	五阶1级法杖，37级可以使用，可以在主线或者斯坦索姆低级副本中获得	1		weapon_105033
105034	icon_105033	占卜法杖	9	5	5	1	2	0.95	1.1	1.1	41	3500	294	1029	98	98	98	98	98	98	98	0	0	五阶2级法杖，38级可以使用，可以通过合成获得	2		weapon_105033
105035	icon_105033	占卜法杖	9	5	5	1	2	1	1	1	42	3600	300	1050	100	100	100	100	100	100	100	0	0	五阶3级法杖，39级可以使用，可以在斯坦索姆中低级副本中获得	2		weapon_105033
105036	icon_105033	占卜法杖	9	5	5	1	3	1.05	0.9	0.9	43	3700	306	1071	102	102	102	102	102	102	102	0	0	五阶4级法杖，40级可以使用，可以通过合成获得	3		weapon_105033
105037	icon_105037	烈焰法杖	10	5	5	1	3	1.1	0.8	0.8	44	3800	306	1071	102	102	102	102	102	102	102	0	0	五阶5级法杖，41级可以使用，可以在斯坦索姆中高级副本中获得	3		weapon_105037
105038	icon_105037	烈焰法杖	10	5	5	1	4	1.15	0.7	0.7	45	3900	318	1113	106	106	106	106	106	106	106	0	0	五阶6级法杖，42级可以使用，可以通过合成获得	4		weapon_105037
105039	icon_105037	烈焰法杖	10	5	5	1	4	1.2	0.6	0.6	46	4000	324	1134	108	108	108	108	108	108	108	0	0	五阶7级法杖，43级可以使用，可以在斯坦索姆高级副本中获得	4		weapon_105037
105040	icon_105037	烈焰法杖	10	5	5	1	5	1.25	0.5	0.5	47	4100	330	1155	110	110	110	110	110	110	110	0	0	五阶8级法杖，44级可以使用，可以通过合成获得	5		weapon_105037
105041	icon_105041	暮光之塔	11	5	5	1	1	1.1	1	1	48	4200	312	1092	104	104	104	104	104	104	104	0	0	六阶1级法杖，45级可以使用，可以在主线或者黑石之翼低级副本中获得	1		weapon_105041
105042	icon_105041	暮光之塔	11	5	5	1	2	1.15	0.92	0.92	49	4300	324	1134	108	108	108	108	108	108	108	0	0	六阶2级法杖，46级可以使用，可以通过合成获得	2		weapon_105041
105043	icon_105041	暮光之塔	11	5	5	1	2	1.2	0.84	0.84	50	4400	330	1155	110	110	110	110	110	110	110	0	0	六阶3级法杖，47级可以使用，可以在黑石之翼中低级副本中获得	2		weapon_105041
105044	icon_105041	暮光之塔	11	5	5	1	3	1.25	0.76	0.76	51	4500	342	1197	114	114	114	114	114	114	114	0	0	六阶4级法杖，48级可以使用，可以通过合成获得	3		weapon_105041
105045	icon_105045	搜魂者	12	5	5	1	3	1.3	0.68	0.68	52	4600	336	1176	112	112	112	112	112	112	112	0	0	六阶5级法杖，49级可以使用，可以在黑石之翼中高级副本中获得	3		weapon_105045
105046	icon_105045	搜魂者	12	5	5	1	4	1.35	0.6	0.6	53	4700	342	1197	114	114	114	114	114	114	114	0	0	六阶6级法杖，50级可以使用，可以通过合成获得	4		weapon_105045
105047	icon_105045	搜魂者	12	5	5	1	4	1.4	0.52	0.52	54	4800	348	1218	116	116	116	116	116	116	116	0	0	六阶7级法杖，51级可以使用，可以在黑石之翼高级副本中获得	4		weapon_105045
105048	icon_105045	搜魂者	12	5	5	1	5	1.45	0.44	0.44	55	4900	360	1260	120	120	120	120	120	120	120	0	0	六阶8级法杖，52级可以使用，可以通过合成获得	5		weapon_105045
