id	index	target	pos	caption
503	294	0	1	只有去拿到钥匙再过来拜访了！
504	295	39	2	当年轻松的发配了我们，今天还想轻松的从我们的眼皮底下走过？
505	295	39	2	历史性的时刻就要到来了，我们就要可以成为时代的主宰了！
506	296	0	1	斯坦索姆也是个悲剧之地
507	296	0	1	这里的亡灵就跟影牙城堡的鬼混一样
508	296	0	1	要不是为了钥匙，没人愿意踏上这片土地
509	296	2	2	访客？很久没有访客了！
510	296	2	2	这里没什么新鲜的食物，不过没关系！
511	296	2	2	憎恶们，把他们的心脏挖出来！好好招待他们！
512	297	0	1	最近遇见太多亡灵了，整个人都不好了
513	297	0	1	赶快拿着钥匙回到黑石塔吧
514	298	2	2	希望下一批客人能早点来，不然食材又不新鲜了！！
515	299	0	1	这里已然成为了一个山中的堡垒了！
516	299	0	1	虽然还没完全建成，但是已经很吓人了
517	299	180	2	好了，参观结束了，是时候送你们回家了！
518	300	0	1	他们的能量十分强大，即使最终是我们战胜了他！
519	300	0	1	祖先是怎么把所有的红龙发配到这里的？
520	300	0	1	我能感受到他体内蕴藏的能量！
521	301	180	2	这还不是我的真正实力！你们太弱了，根本没有资格跟我们红龙氏族平起平坐！
522	302	20048	2	是你们？来这里干什么？
523	302	20048	2	不用解释了。反正结局都是一样的！
524	302	20048	2	大战就要来临了，先拿你们做个热身！
525	303	0	1	这样一切就可以终结了么？
526	303	0	1	难道这一系列的事件都只是这来自远古的怨念？
527	303	0	1	祖先的抉择又是对是错呢？
528	303	0	1	希望能好好的休息一段时间
529	304	20048	2	你们说你们是城邦的英雄？没想到现在的英雄如此的弱小。
530	304	20048	2	你们根本没有资格囚禁我！
531	305	0	1	巨魔的思维一向古怪！
532	305	197	2	谁说我们古怪？你们居然亵渎神圣的领地。
533	305	197	2	死亡都不能惩罚你们，只有痛苦和绝望才是你们的归宿！
534	305	197	2	在哈卡的诅咒中慢慢的死去吧！
535	305	0	1	我从来不主动跟巨魔打交道，就是这个道理！
536	306	0	1	这里的巨魔都像异教徒一样疯狂与沉迷
537	306	0	1	他们说到哈卡？！这里看来跟哈卡之魂有着一定的联系
538	307	197	2	就这么让你们死去真是便宜你们了！
539	307	197	2	神圣的哈卡会让你们在痛苦中慢慢享受这一切的
540	308	0	1	巨魔还真跟邪教一样遍地开枝散叶！到处都是他们的圣地！
541	308	207	2	不要把我们跟普通的巨魔混在一起！
542	308	208	2	我们掌控着自然与野兽的能量！
543	308	210	2	我们能撕碎你们的希望！
544	309	0	1	这些力量如果用在正确的方向上一定会很强大
545	309	0	1	我们有必要招募强大的巨魔兄弟入伙
546	310	210	2	巨魔之火永恒不息
